"","x"
"1","WR_WATER_RIGHT_ID"
"2","MULTIPLE_USES"
"3","NUMBER_OF_USES"
"4","USE_ID"
"5","USE_CODE"
"6","USE_STATUS"
"7","NUMBER_OF_RESIDENCES"
"8","SEPERATELY_OWNED_FLAG"
"9","USE_POPULATION"
"10","USE_POPULATION_PEOPLE"
"11","EST_USE_PER_PERSON"
"12","USE_POP_STOCK"
"13","USE_POP_STOCK_TYPE"
"14","AREA_FOR_INCIDENTIAL"
"15","USE_NET_ACREAGE"
"16","USE_GROSS_ACREAGE"
"17","USE_DIRECT_DIV_ANNUAL_AMOUNT"
"18","USE_DIRECT_DIVERSION_RATE"
"19","USE_DIRECT_DIV_RATE_UNITS"
"20","USE_STORAGE_AMOUNT"
"21","POU_DEVELOPMENT_STATUS"
"22","MULTIPLE_SEASONS"
"23","DIRECT_SEASON_START_MONTH_1"
"24","DIRECT_DIV_SEASON_START_DAY_1"
"25","DIRECT_DIV_SEASON_END_MONTH_1"
"26","DIRECT_DIV_SEASON_END_DAY_1"
"27","DAYS_IN_DIRECT_DIV_1"
"28","DD_RATE_1"
"29","SEASON_DIRECT_DIV_RATE_UNIT_1"
"30","DD_ANNUAL_AMOUNT_1"
"31","DIRECT_DIV_SEASON_STATUS_1"
"32","DIRECT_SEASON_START_MONTH_2"
"33","DIRECT_DIV_SEASON_START_DAY_2"
"34","DIRECT_DIV_SEASON_END_MONTH_2"
"35","DIRECT_DIV_SEASON_END_DAY_2"
"36","DAYS_IN_DIRECT_DIV_2"
"37","DD_RATE_2"
"38","SEASON_DIRECT_DIV_RATE_UNIT_2"
"39","DD_ANNUAL_AMOUNT_2"
"40","DIRECT_DIV_SEASON_STATUS_2"
"41","DIRECT_SEASON_START_MONTH_3"
"42","DIRECT_DIV_SEASON_START_DAY_3"
"43","DIRECT_DIV_SEASON_END_MONTH_3"
"44","DIRECT_DIV_SEASON_END_DAY_3"
"45","DAYS_IN_DIRECT_DIV_3"
"46","DD_RATE_3"
"47","SEASON_DIRECT_DIV_RATE_UNIT_3"
"48","DD_ANNUAL_AMOUNT_3"
"49","DIRECT_DIV_SEASON_STATUS_3"
"50","DIRECT_SEASON_COUNT"
"51","TOTAL_DAYS_DIRECT_SEASON"
"52","TOTAL_AA_DIRECT_SEASON"
"53","STORAGE_SEASON_START_MONTH_1"
"54","STORAGE_SEASON_START_DAY_1"
"55","STORAGE_SEASON_END_MONTH_1"
"56","STORAGE_SEASON_END_DAY_1"
"57","DAYS_IN_STORAGE_SEASON_1"
"58","SEASON_STORAGE_AMOUNT_1"
"59","COLLECTION_SEASON_STATUS_1"
"60","STORAGE_SEASON_START_MONTH_2"
"61","STORAGE_SEASON_START_DAY_2"
"62","STORAGE_SEASON_END_MONTH_2"
"63","STORAGE_SEASON_END_DAY_2"
"64","DAYS_IN_STORAGE_SEASON_2"
"65","SEASON_STORAGE_AMOUNT_2"
"66","COLLECTION_SEASON_STATUS_2"
"67","STORAGE_SEASON_START_MONTH_3"
"68","STORAGE_SEASON_START_DAY_3"
"69","STORAGE_SEASON_END_MONTH_3"
"70","STORAGE_SEASON_END_DAY_3"
"71","DAYS_IN_STORAGE_SEASON_3"
"72","SEASON_STORAGE_AMOUNT_3"
"73","COLLECTION_SEASON_STATUS_3"
"74","STORAGE_SEASON_COUNT"
"75","TOTAL_DAYS_STORAGE_SEASON"
"76","TOTAL_AMOUNT_STORAGE_SEASON"
"77","APPLICATION_NUMBER"
"78","CERTIFICATE_ID"
"79","PERMIT_ID"
"80","LICENSE_ID"
"81","WATER_RIGHT_TYPE"
"82","WATER_RIGHT_STATUS"
"83","APPLICATION_NUMBER_PARTY"
"84","PWSS_ID"
"85","PRIORITY_DATE"
"86","RECEIPT_DATE"
"87","REJECTION_DATE"
"88","APPLICATION_RECD_DATE"
"89","APPLICATION_ACCEPTANCE_DATE"
"90","PROJECT_TYPE"
"91","RECORD_SUMMARY"
"92","INCOMPLETE_STATEMENT"
"93","NUMBER_OF_PROTESTS"
"94","AGENT_NAME"
"95","AGENT_ENTITY_TYPE"
"96","APPLICATION_PRIMARY_OWNER"
"97","PRIMARY_OWNER_ENTITY_TYPE"
"98","SUB_TYPE"
"99","INI_REPORTED_DIV_AMOUNT"
"100","INI_REPORTED_DIV_UNIT"
"101","FACE_VALUE_AMOUNT"
"102","FACE_VALUE_UNITS"
"103","FEE_DUE"
"104","FEE_RECEIVED"
"105","APPL_FEE_AMOUNT"
"106","APPL_FEE_AMT_RECD"
"107","MAX_DD_APPL"
"108","MAX_DD_UNITS"
"109","MAX_DD_ANN"
"110","MAX_STORAGE"
"111","MAX_TAKEN_FROM_SOURCE"
"112","YEAR_DIVERSION_COMMENCED"
"113","MAX_BENEFICIALLY_USED"
"114","SUPPLEMENTAL_STATEMENT_CYCLE"
