"","x"
"1","CID_NUMBER"
"2","LEGACY_COMPLAINT_NUMBER"
"3","DATE_COMPLAINT_RECEIVED"
"4","DATE_COMPLAINT_CLOSED"
"5","REASON_FOR_CLOSING"
"6","SECTION_OR_OFFICE"
"7","LEAD_STAFF"
"8","SENIOR_STAFF"
"9","HOW_COMPLAINT_RECEIVED"
"10","CALEPA_COMPLAINT_NUMBER"
"11","REFER_BY_OTHER_AGENCY"
"12","COMPLAINT_SWEEP"
"13","COMPLAINT_PRIORITY"
"14","UNAUTHORIZED_DIVERSION"
"15","VIOLATION_OF_TERM"
"16","WASTE_OR_UNREASONABLE_USE"
"17","IMPACT_TO_PUBLIC_TRUST"
"18","INJURY_TO_PRIOR_RIGHTS"
"19","OTHER_ALLEGATION"
"20","OTHER_DESCRIPTION"
"21","COMPLAINT_SUMMARY"
"22","COMPLAINT_COUNTY"
"23","COMPLAINT_STREAM_SOURCE_NAME"
"24","TRIBUTARY_TO"
"25","COMPLAINT_LOCATION_LATITUDE"
"26","COMPLAINT_LONGITUDE_LATITUDE"
"27","NUM_ATTACHMENT"
"28","NUM_COMMENT"
"29","RECORD_CREATED_FROM_UPLOAD"
"30","UPLOADED_COMPLAINT_VERIFIED"
"31","LAST_UPDATE_USER"
"32","LAST_UPDATED_DATE"
"33","COMPLAINANT_NAME_1"
"34","COMPLAINANT_CONF_PROVIDED_1"
"35","RELATIONSHIP_TO_COMPLAINT_1"
"36","COMPLAINANT_ADDRESS_1"
"37","COMPLAINANT_PHONE_1"
"38","COMPLAINANT_EMAIL_1"
"39","COMPLAINANT_PARTY_ID_1"
"40","COMPLAINANT_1_APP_STATEMENT_1"
"41","COMPLAINANT_1_APP_STATEMENT_2"
"42","COMPLAINANT_1_APP_STATEMENT_3"
"43","COMPLAINANT_1_TOTAL_APP"
"44","COMPLAINANT_1_NO_KNOWN"
"45","COMPLAINANT_NAME_2"
"46","COMPLAINANT_CONF_PROVIDED_2"
"47","RELATIONSHIP_TO_COMPLAINT_2"
"48","COMPLAINANT_ADDRESS_2"
"49","COMPLAINANT_PHONE_2"
"50","COMPLAINANT_EMAIL_2"
"51","COMPLAINANT_PARTY_ID_2"
"52","COMPLAINANT_2_APP_STATEMENT_1"
"53","COMPLAINANT_2_APP_STATEMENT_2"
"54","COMPLAINANT_2_APP_STATEMENT_3"
"55","COMPLAINANT_2_TOTAL_APP"
"56","COMPLAINANT_2_NO_KNOWN"
"57","RESPONDENT_NAME_1"
"58","RESPONDENT_CONF_PROVIDED_1"
"59","RESPONDENT_TO_COMPLAINT_1"
"60","RESPONDENT_ADDRESS_1"
"61","RESPONDENT_PHONE_1"
"62","RESPONDENT_EMAIL_1"
"63","RESPONDENT_PARTY_ID_1"
"64","RESPONDENT_1_APP_STATEMENT_1"
"65","RESPONDENT_1_APP_STATEMENT_2"
"66","RESPONDENT_1_APP_STATEMENT_3"
"67","RESPONDENT_1_TOTAL_APP"
"68","RESPONDENT_1_NO_KNOWN"
"69","RESPONDENT_NAME_2"
"70","RESPONDENT_CONF_PROVIDED_2"
"71","RESPONDENT_TO_COMPLAINT_2"
"72","RESPONDENT_ADDRESS_2"
"73","RESPONDENT_PHONE_2"
"74","RESPONDENT_EMAIL_2"
"75","RESPONDENT_PARTY_ID_2"
"76","RESPONDENT_2_APP_STATEMENT_1"
"77","RESPONDENT_2_APP_STATEMENT_2"
"78","RESPONDENT_2_APP_STATEMENT_3"
"79","RESPONDENT_2_TOTAL_APP"
"80","RESPONDENT_2_NO_KNOWN"
"81","TOTAL_COMPLAINANT_PARTY"
"82","TOTAL_RESPONDENT_PARTY"
"83","RELATED_INVESTIGATION_ID"
"84","INVESTIGATION_TYPE"
"85","INVESTIGATION_START_DATE"
"86","INVESTIGATION_CLOSURE_DATE"
"87","INVESTIGATION_LEAD_STAFF"
"88","INVEST_SECTION_OR_OFFICE"
"89","INVESTIGATION_SWEEP"
"90","RESOURCE_VALUE_PRIORITY"
"91","INVESTIGATION_SUMMARY"
